id,type,typeName,commodityCode,commodityNameTH,unitName,curMonth,curYear,priceCur,priceVAT,createdAt
5122759,14,พระนครศรีอยุธยา,0101010100100000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 180 กก./ตร.ซม. และ รูปทรงกระบอก 140กก./ตร.ซม.  ตราซีแพค,ลบ.ม.,3,2567,2200.0,,2025-01-27T04:03:34.129043Z
5126689,14,พระนครศรีอยุธยา,0101010100200000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 210 กก./ตร.ซม. และ รูปทรงกระบอก 180 กก./ตร.ซม.   ตราซีแพค,ลบ.ม.,3,2567,2240.0,,2025-01-27T04:03:34.129043Z
5125410,14,พระนครศรีอยุธยา,0101010100300000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 240 กก./ตร.ซม. และรูปทรงกระบอก 210 กก./ตร.ซม.   ตราซีแพค,ลบ.ม.,3,2567,2280.0,,2025-01-27T04:03:34.129043Z
5124368,14,พระนครศรีอยุธยา,0101010100400000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 280 กก./ตร.ซม. และ รูปทรงกระบอก 240 กก./ตร.ซม.   ตราซีเแพค,ลบ.ม.,3,2567,2320.0,,2025-01-27T04:03:34.129043Z
5126224,14,พระนครศรีอยุธยา,0101010100500000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 320 กก./ตร.ซม. และ รูปทรงกระบอก 280 กก./ตร.ซม.   ตราซีแพค,ลบ.ม.,3,2567,2400.0,,2025-01-27T04:03:34.129043Z
5124223,14,พระนครศรีอยุธยา,0101010100600000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 350 กก./ตร.ซม. และ รูปทรงกระบอก 300 กก./ตร.ซม.  ตราซีแพค,ลบ.ม.,3,2567,2450.0,,2025-01-27T04:03:34.129043Z
5122862,14,พระนครศรีอยุธยา,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,ลบ.ม.,3,2567,2510.0,,2025-01-27T04:03:34.129043Z
5123731,14,พระนครศรีอยุธยา,0101010100800000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 400 กก./ตร.ซม. และ รูปทรงกระบอก 350 กก./ตร.ซม.  ตราซีแพค,ลบ.ม.,3,2567,2580.0,,2025-01-27T04:03:34.129043Z
5125807,14,พระนครศรีอยุธยา,0101010103000000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 180 กก./ตร.ซม. และรูปทรงกระบอก  140 กก./ตร.ซม.  มีส่วนผสมของปูนซีเมนต์ TPI,ลบ.ม.,3,2567,1738.32,,2025-01-27T04:03:34.129043Z
5125909,14,พระนครศรีอยุธยา,0101010103100000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 210 กก./ตร.ซม. และรูปทรงกระบอก  180 กก./ตร.ซม.  มีส่วนผสมของปูนซีเมนต์ TPI,ลบ.ม.,3,2567,1822.43,,2025-01-27T04:03:34.129043Z
