id,type,typeName,commodityCode,commodityNameTH,unitName,curMonth,curYear,priceCur,priceVAT,createdAt
4886029,14,พระนครศรีอยุธยา,1103050101200000,"ไม้แดง  ไม่ไส   ขนาด  2"" x 6""   ยาว  4 - 4.50  เมตร",ลบ.ฟ.,11,2566,2242.99,,2025-01-27T04:03:34.129043Z
4887873,14,พระนครศรีอยุธยา,1103070102200000,"ไม้ยาง  ไม่ไส  ขนาด  1/2"" x 6""    ยาว  4 - 4.50  เมตร",ลบ.ฟ.,11,2566,841.12,,2025-01-27T04:03:34.129043Z
4887633,14,พระนครศรีอยุธยา,1103070102400000,"ไม้ยาง  ไม่ไส  ขนาด  1"" x 6""   ยาว  4 - 4.50  เมตร",ลบ.ฟ.,11,2566,841.12,,2025-01-27T04:03:34.129043Z
4888078,14,พระนครศรีอยุธยา,1103070102500000,"ไม้ยาง  ไม่ไส  ขนาด  1"" x 8""   ยาว  4 - 4.50  เมตร",ลบ.ฟ.,11,2566,841.12,,2025-01-27T04:03:34.129043Z
4889313,14,พระนครศรีอยุธยา,1103070102700000,"ไม้ยาง  ไม่ไส  ขนาด  1 1/2"" x 3""   ยาว  4 - 4.50  เมตร",ลบ.ฟ.,11,2566,841.12,,2025-01-27T04:03:34.129043Z
4889506,14,พระนครศรีอยุธยา,1103070102900000,"ไม้ยาง  ไม่ไส  ขนาด  4"" x 4""   ยาว  4 - 4.50  เมตร",ลบ.ฟ.,11,2566,841.12,,2025-01-27T04:03:34.129043Z
4887178,14,พระนครศรีอยุธยา,1103080101000000,"ไม้กะบาก  ไม่ไส   ขนาด   1"" x 6""   ยาว  4 - 4.50  เมตร",ลบ.ฟ.,11,2566,607.48,,2025-01-27T04:03:34.129043Z
4879238,14,พระนครศรีอยุธยา,1202010100100000,สีน้ำมันเคลือบชนิดเงา   ขนาด 3.785  ลิตร   ตราไอ ซี ไอ  ดูลักซ์,กระป๋อง,11,2566,654.21,,2025-01-27T04:03:34.129043Z
4874549,14,พระนครศรีอยุธยา,1202010100800000,สีน้ำมันเคลือบชนิดเงา   ขนาด  3.785  ลิตร   ตรา ที โอ เอ,กระป๋อง,11,2566,560.75,,2025-01-27T04:03:34.129043Z
4849574,14,พระนครศรีอยุธยา,1202010101200000,สีน้ำมันเคลือบชนิดด้าน  ขนาด  3.785  ลิตร  ตรากัปตัน,แกลลอน,11,2566,542.06,,2025-01-27T04:03:34.129043Z
4881624,14,พระนครศรีอยุธยา,1203010100100000,สีน้ำพลาสติก  ทาภายใน  ขนาด 3.785  ลิตร  ตรา ไอ ซี ไอ   ดูลักซ์   (โฮมแมท  A965),กระป๋อง,11,2566,373.83,,2025-01-27T04:03:34.129043Z
4881775,14,พระนครศรีอยุธยา,1203010100800000,สีน้ำพลาสติก  ทาภายใน  ชนิดด้าน  ขนาด  3.785  ลิตร  ตรา ที โอ เอ   (E 100),กระป๋อง,11,2566,373.83,,2025-01-27T04:03:34.129043Z
4874076,14,พระนครศรีอยุธยา,1203010100900000,สีน้ำพลาสติก  ทาภายใน  ขนาด 3.785  ลิตร  ตรา กัปตัน   (ไวนิล  แมท),กระป๋อง,11,2566,392.52,,2025-01-27T04:03:34.129043Z
