id,type,typeName,commodityCode,commodityNameTH,unitName,curMonth,curYear,priceCur,priceVAT,createdAt
12320860,14,พระนครศรีอยุธยา,0101010100100000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 180 กก./ตร.ซม. และ รูปทรงกระบอก 140กก./ตร.ซม.  ตราซีแพค,ลบ.ม.,5,2569,2520.0,2696.4,2026-06-10T04:37:41.997544Z
12320913,14,พระนครศรีอยุธยา,0101010100200000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 210 กก./ตร.ซม. และ รูปทรงกระบอก 180 กก./ตร.ซม.   ตราซีแพค,ลบ.ม.,5,2569,2580.0,2760.6,2026-06-10T04:37:41.997544Z
12320955,14,พระนครศรีอยุธยา,0101010100300000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 240 กก./ตร.ซม. และรูปทรงกระบอก 210 กก./ตร.ซม.   ตราซีแพค,ลบ.ม.,5,2569,2640.0,2824.8,2026-06-10T04:37:41.997544Z
12321068,14,พระนครศรีอยุธยา,0101010100500000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 320 กก./ตร.ซม. และ รูปทรงกระบอก 280 กก./ตร.ซม.   ตราซีแพค,ลบ.ม.,5,2569,2840.0,3038.8,2026-06-10T04:37:41.997544Z
12321123,14,พระนครศรีอยุธยา,0101010100600000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 350 กก./ตร.ซม. และ รูปทรงกระบอก 300 กก./ตร.ซม.  ตราซีแพค,ลบ.ม.,5,2569,2920.0,3124.4,2026-06-10T04:37:41.997544Z
12321173,14,พระนครศรีอยุธยา,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,ลบ.ม.,5,2569,3000.0,3210.0,2026-06-10T04:37:41.997544Z
12321221,14,พระนครศรีอยุธยา,0101010100800000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 400 กก./ตร.ซม. และ รูปทรงกระบอก 350 กก./ตร.ซม.  ตราซีแพค,ลบ.ม.,5,2569,3100.0,3317.0,2026-06-10T04:37:41.997544Z
12321413,14,พระนครศรีอยุธยา,0101010107200000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 300 กก./ตร.ซม. และรูปทรงกระบอก 250 กก./ตร.ซม.  ตราซีแพค,ลบ.ม.,5,2569,2760.0,2953.2,2026-06-10T04:37:41.997544Z
12322048,14,พระนครศรีอยุธยา,0209020100600000,อิฐแก้ว (บล็อกแก้ว)   ประกายแก้ว  รุ่น  N-001/01  ขนาด 190 x 190 x 100 มม.    ตราช้างแก้ว,ก้อน,5,2569,41.12,44.0,2026-06-10T04:37:41.997544Z
12322050,14,พระนครศรีอยุธยา,0209020100700000,อิฐแก้ว (บล็อกแก้ว)   อิฐเพชร  รุ่น  N-019  ขนาด 190 x 190 x 80 มม.    ตราช้างแก้ว,ก้อน,5,2569,46.73,50.0,2026-06-10T04:37:41.997544Z
12322395,14,พระนครศรีอยุธยา,0305010100300000,"เสารั้วคอนกรีตเสริมเหล็ก  แบบสี่เหลี่ยม   ขนาด  4"" x 4""  ยาว 2.50 ม.",ท่อน,5,2569,467.29,500.0,2026-06-10T04:37:41.997544Z
12322532,14,พระนครศรีอยุธยา,0401010101500000,เหล็กเส้นกลมผิวเรียบ SR.24 มอก. 20-2559 ขนาดเส้นผ่านศูนย์กลาง 6 มม. ยาว 10 เมตร,ตัน,5,2569,23153.99,24774.77,2026-06-10T04:37:41.997544Z
12322596,14,พระนครศรีอยุธยา,0401010101600000,เหล็กเส้นกลมผิวเรียบ SR.24 มอก. 20-2559 ขนาดเส้นผ่านศูนย์กลาง 9 มม. ยาว 10 เมตร,ตัน,5,2569,22630.93,24215.1,2026-06-10T04:37:41.997544Z
12322706,14,พระนครศรีอยุธยา,0401010101700000,เหล็กเส้นกลมผิวเรียบ SR.24 มอก. 20-2559 ขนาดเส้นผ่านศูนย์กลาง 12 มม. ยาว 10 เมตร  ,ตัน,5,2569,21312.2,22804.06,2026-06-10T04:37:41.997544Z
12322764,14,พระนครศรีอยุธยา,0401010101800000,เหล็กเส้นกลมผิวเรียบ SR.24 มอก. 20-2559 ขนาดเส้นผ่านศูนย์กลาง 15 มม. ยาว 10 เมตร,ตัน,5,2569,21494.65,22999.28,2026-06-10T04:37:41.997544Z
